2026-04-05 09:48:54,626 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 0.7490
2026-04-05 09:49:08,079 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 0.5638
2026-04-05 09:49:21,535 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 1.1236
2026-04-05 09:49:34,987 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 0.7597
2026-04-05 09:49:48,440 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 0.6592
2026-04-05 09:50:10,405 - INFO - Batch 0 | Data: 0.044s | Step: 0.118s | Loss: 0.5337
2026-04-05 09:50:23,851 - INFO - Batch 50 | Data: 0.001s | Step: 0.117s | Loss: 0.6690
2026-04-05 09:50:37,305 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.5890
2026-04-05 09:50:50,757 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 0.8008
2026-04-05 09:51:04,209 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 0.7909
2026-04-05 09:51:17,663 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 0.6378
2026-04-05 09:51:31,117 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 0.7143
2026-04-05 09:51:44,573 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 0.6235
2026-04-05 09:52:06,344 - INFO - Batch 0 | Data: 0.031s | Step: 0.117s | Loss: 0.6421
2026-04-05 09:52:19,799 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 0.7028
2026-04-05 09:52:33,253 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.6358
2026-04-05 09:52:46,709 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 0.6366
2026-04-05 09:53:00,167 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 0.6558
2026-04-05 09:53:13,627 - INFO - Batch 250 | Data: 0.001s | Step: 0.119s | Loss: 0.6168
2026-04-05 09:53:27,082 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 0.8724
2026-04-05 09:53:40,543 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 0.6979
2026-04-05 09:54:02,277 - INFO - Batch 0 | Data: 0.027s | Step: 0.118s | Loss: 0.6974
2026-04-05 09:54:15,731 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 0.8339
2026-04-05 09:54:29,186 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.7423
2026-04-05 09:54:42,646 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 0.7507
2026-04-05 09:54:56,104 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 0.6722
2026-04-05 09:55:09,564 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 0.8609
2026-04-05 09:55:23,022 - INFO - Batch 300 | Data: 0.001s | Step: 0.117s | Loss: 0.6986
2026-04-05 09:55:36,480 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 0.8697
2026-04-05 09:55:58,323 - INFO - Batch 0 | Data: 0.059s | Step: 0.117s | Loss: 0.6248
2026-04-05 09:56:11,777 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 0.8360
2026-04-05 09:56:25,237 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 0.5005
2026-04-05 09:56:38,696 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 0.7909
